Time,CAN_ID,Severity,AttackType,Score,Reason,KbMatch,Explanation,Recommendation
01:00:05.001,0x7EC,MEDIUM,CONTINUITY_BREAK,0,753,"timing=0.644, payload=1.080, ml=0.742, persistence=0.010, freq=4Hz, can_id_entropy=2.267","","",""
01:00:05.481,0x13,LOW,ML_OUTLIER,0,478,"timing=0.433, payload=0.505, ml=0.737, persistence=0.020, freq=1Hz, can_id_entropy=2.151","","",""
01:00:05.482,0x15,LOW,ML_OUTLIER,0,457,"timing=0.433, payload=0.450, ml=0.732, persistence=0.020, freq=1Hz, can_id_entropy=2.151","","",""
01:00:05.490,0x7BB,CRITICAL,TIMING_BURST,1,194,"timing=2.000, payload=0.981, ml=0.740, persistence=0.030, freq=1Hz, can_id_entropy=2.151","","",""
01:00:05.500,0x7B3,HIGH,TIMING_BURST,0,978,"timing=2.000, payload=0.784, ml=0.000, persistence=0.040, freq=0Hz, can_id_entropy=2.151","","",""
01:00:05.689,0x19,MEDIUM,CONTINUITY_BREAK,0,557,"timing=0.003, payload=1.141, ml=0.733, persistence=0.100, freq=10Hz, can_id_entropy=2.235","","",""
01:00:06.000,0x5,LOW,ML_OUTLIER,0,404,"timing=0.400, payload=0.312, ml=0.727, persistence=0.100, freq=1Hz, can_id_entropy=2.235","","",""
01:00:06.000,0x7E4,HIGH,TIMING_BURST,0,818,"timing=0.945, payload=0.938, ml=0.740, persistence=0.110, freq=1Hz, can_id_entropy=2.235","","",""
01:00:06.028,0x7EC,MEDIUM,CONTINUITY_BREAK,0,720,"timing=0.557, payload=1.045, ml=0.742, persistence=0.110, freq=5Hz, can_id_entropy=2.235","","",""
01:00:06.483,0x13,LOW,ML_OUTLIER,0,484,"timing=0.400, payload=0.531, ml=0.737, persistence=0.110, freq=1Hz, can_id_entropy=2.175","","",""
01:00:06.500,0x7A0,CRITICAL,TIMING_BURST,1,017,"timing=2.000, payload=0.873, ml=0.000, persistence=0.120, freq=0Hz, can_id_entropy=2.175","","",""
01:00:06.504,0x7A8,CRITICAL,TIMING_BURST,1,171,"timing=1.836, payload=1.048, ml=0.742, persistence=0.130, freq=1Hz, can_id_entropy=2.175","","",""
01:00:07.000,0x7E4,MEDIUM,CONTINUITY_BREAK,0,797,"timing=0.877, payload=0.924, ml=0.737, persistence=0.190, freq=1Hz, can_id_entropy=2.254","","",""
01:00:07.000,0x5,LOW,ML_OUTLIER,0,404,"timing=0.373, payload=0.312, ml=0.727, persistence=0.190, freq=1Hz, can_id_entropy=2.254","","",""
01:00:07.028,0x7EC,MEDIUM,CONTINUITY_BREAK,0,643,"timing=0.523, payload=0.836, ml=0.740, persistence=0.190, freq=6Hz, can_id_entropy=2.254","","",""
01:00:07.115,0x19,LOW,CONTINUITY_BREAK,0,522,"timing=0.003, payload=1.016, ml=0.733, persistence=0.190, freq=10Hz, can_id_entropy=2.254","","",""
01:00:07.496,0x13,LOW,ML_OUTLIER,0,466,"timing=0.371, payload=0.485, ml=0.737, persistence=0.190, freq=1Hz, can_id_entropy=2.254","","",""
01:00:08.230,0x19,LOW,ML_OUTLIER,0,413,"timing=0.003, payload=0.705, ml=0.733, persistence=0.180, freq=10Hz, can_id_entropy=2.268","","",""
01:00:09.000,0x5,LOW,ML_OUTLIER,0,409,"timing=0.331, payload=0.375, ml=0.727, persistence=0.170, freq=1Hz, can_id_entropy=2.227","","",""
01:00:09.356,0x19,LOW,CONTINUITY_BREAK,0,439,"timing=0.003, payload=0.785, ml=0.733, persistence=0.170, freq=10Hz, can_id_entropy=2.227","","",""
01:00:09.480,0x13,LOW,ML_OUTLIER,0,476,"timing=0.330, payload=0.567, ml=0.737, persistence=0.140, freq=1Hz, can_id_entropy=2.227","","",""
01:00:09.481,0x17,LOW,ML_OUTLIER,0,402,"timing=0.330, payload=0.380, ml=0.717, persistence=0.100, freq=1Hz, can_id_entropy=2.198","","",""
01:00:10.000,0x7EC,MEDIUM,CONTINUITY_BREAK,0,761,"timing=0.644, payload=1.080, ml=0.740, persistence=0.090, freq=4Hz, can_id_entropy=2.198","","",""
01:00:10.000,0x7E4,HIGH,TIMING_BURST,0,845,"timing=1.044, payload=0.925, ml=0.737, persistence=0.090, freq=1Hz, can_id_entropy=2.198","","",""
01:00:10.490,0x7BB,CRITICAL,TIMING_BURST,1,194,"timing=1.984, payload=0.981, ml=0.742, persistence=0.080, freq=1Hz, can_id_entropy=2.151","","",""
01:00:10.500,0x7B3,CRITICAL,TIMING_BURST,1,130,"timing=2.000, payload=0.784, ml=0.737, persistence=0.080, freq=0Hz, can_id_entropy=2.151","","",""
01:00:10.569,0x19,LOW,CONTINUITY_BREAK,0,420,"timing=0.003, payload=0.753, ml=0.731, persistence=0.090, freq=10Hz, can_id_entropy=2.151","","",""
01:00:11.000,0x7E4,HIGH,TIMING_BURST,0,831,"timing=0.990, payload=0.938, ml=0.731, persistence=0.100, freq=1Hz, can_id_entropy=2.218","","",""
01:00:11.028,0x7EC,MEDIUM,CONTINUITY_BREAK,0,738,"timing=0.615, payload=1.045, ml=0.736, persistence=0.100, freq=5Hz, can_id_entropy=2.218","","",""
01:00:11.497,0x13,LOW,CONTINUITY_BREAK,0,538,"timing=0.299, payload=0.793, ml=0.731, persistence=0.100, freq=1Hz, can_id_entropy=2.205","","",""
01:00:11.500,0x7A0,CRITICAL,TIMING_BURST,1,164,"timing=2.000, payload=0.873, ml=0.740, persistence=0.110, freq=0Hz, can_id_entropy=2.205","","",""
01:00:11.511,0x7A8,CRITICAL,TIMING_BURST,1,169,"timing=1.836, payload=1.048, ml=0.739, persistence=0.120, freq=1Hz, can_id_entropy=2.205","","",""
01:00:11.890,0x19,LOW,ML_OUTLIER,0,410,"timing=0.004, payload=0.697, ml=0.731, persistence=0.180, freq=10Hz, can_id_entropy=2.205","","",""
01:00:12.000,0x7E4,HIGH,TIMING_BURST,0,819,"timing=0.945, payload=0.924, ml=0.731, persistence=0.190, freq=1Hz, can_id_entropy=2.313","","",""
01:00:12.028,0x7EC,MEDIUM,CONTINUITY_BREAK,0,675,"timing=0.616, payload=0.836, ml=0.742, persistence=0.190, freq=5Hz, can_id_entropy=2.313","","",""
01:00:12.908,0x19,LOW,CONTINUITY_BREAK,0,457,"timing=0.004, payload=0.830, ml=0.731, persistence=0.190, freq=10Hz, can_id_entropy=2.280","","",""
01:00:13.496,0x13,LOW,ML_OUTLIER,0,430,"timing=0.276, payload=0.485, ml=0.731, persistence=0.170, freq=1Hz, can_id_entropy=2.280","","",""
01:00:14.231,0x19,LOW,CONTINUITY_BREAK,0,436,"timing=0.004, payload=0.776, ml=0.731, persistence=0.170, freq=10Hz, can_id_entropy=2.304","","",""
01:00:14.517,0x13,LOW,ML_OUTLIER,0,425,"timing=0.265, payload=0.487, ml=0.731, persistence=0.150, freq=1Hz, can_id_entropy=2.304","","",""
01:00:15.000,0x7EC,MEDIUM,CONTINUITY_BREAK,0,788,"timing=0.717, payload=1.080, ml=0.742, persistence=0.100, freq=4Hz, can_id_entropy=2.220","","",""
01:00:15.000,0x7E4,HIGH,TIMING_BURST,0,845,"timing=1.044, payload=0.925, ml=0.731, persistence=0.100, freq=1Hz, can_id_entropy=2.220","","",""
01:00:15.355,0x19,LOW,CONTINUITY_BREAK,0,417,"timing=0.004, payload=0.736, ml=0.731, persistence=0.120, freq=10Hz, can_id_entropy=2.220","","",""
01:00:15.490,0x7BB,CRITICAL,TIMING_BURST,1,199,"timing=1.984, payload=0.981, ml=0.742, persistence=0.130, freq=1Hz, can_id_entropy=2.176","","",""
01:00:15.500,0x7B3,CRITICAL,TIMING_BURST,1,136,"timing=2.000, payload=0.784, ml=0.737, persistence=0.140, freq=0Hz, can_id_entropy=2.176","","",""
01:00:15.524,0x13,LOW,ML_OUTLIER,0,400,"timing=0.256, payload=0.427, ml=0.731, persistence=0.150, freq=1Hz, can_id_entropy=2.176","","",""
01:00:16.000,0x7E4,HIGH,TIMING_BURST,0,839,"timing=1.006, payload=0.938, ml=0.732, persistence=0.120, freq=1Hz, can_id_entropy=2.253","","",""
01:00:16.023,0x7EC,MEDIUM,CONTINUITY_BREAK,0,741,"timing=0.615, payload=1.045, ml=0.742, persistence=0.120, freq=5Hz, can_id_entropy=2.253","","",""
01:00:16.367,0x19,LOW,CONTINUITY_BREAK,0,464,"timing=0.004, payload=0.868, ml=0.731, persistence=0.120, freq=10Hz, can_id_entropy=2.253","","",""
01:00:16.500,0x7A0,CRITICAL,TIMING_BURST,1,166,"timing=2.000, payload=0.873, ml=0.740, persistence=0.130, freq=0Hz, can_id_entropy=2.241","","",""
01:00:16.510,0x7A8,CRITICAL,TIMING_BURST,1,171,"timing=1.837, payload=1.048, ml=0.734, persistence=0.140, freq=1Hz, can_id_entropy=2.241","","",""
01:00:17.000,0x7E4,HIGH,TIMING_BURST,0,832,"timing=0.974, payload=0.924, ml=0.732, persistence=0.210, freq=1Hz, can_id_entropy=2.241","","",""
01:00:17.000,0x5,LOW,ML_OUTLIER,0,422,"timing=0.242, payload=0.500, ml=0.708, persistence=0.210, freq=1Hz, can_id_entropy=2.331","","",""
01:00:17.023,0x7EC,MEDIUM,CONTINUITY_BREAK,0,677,"timing=0.616, payload=0.836, ml=0.742, persistence=0.210, freq=5Hz, can_id_entropy=2.331","","",""
01:00:17.381,0x19,LOW,CONTINUITY_BREAK,0,448,"timing=0.003, payload=0.798, ml=0.731, persistence=0.210, freq=10Hz, can_id_entropy=2.331","","",""
01:00:17.488,0x13,LOW,ML_OUTLIER,0,420,"timing=0.242, payload=0.481, ml=0.731, persistence=0.210, freq=1Hz, can_id_entropy=2.331","","",""
01:00:18.479,0x17,LOW,ML_OUTLIER,0,425,"timing=0.235, payload=0.523, ml=0.710, persistence=0.180, freq=1Hz, can_id_entropy=2.276","","",""
01:00:18.698,0x19,LOW,CONTINUITY_BREAK,0,470,"timing=0.003, payload=0.871, ml=0.731, persistence=0.180, freq=10Hz, can_id_entropy=2.283","","",""
01:00:19.818,0x19,LOW,CONTINUITY_BREAK,0,427,"timing=0.003, payload=0.771, ml=0.731, persistence=0.100, freq=10Hz, can_id_entropy=2.228","","",""
01:00:19.993,0x7EC,MEDIUM,CONTINUITY_BREAK,0,788,"timing=0.717, payload=1.080, ml=0.742, persistence=0.100, freq=4Hz, can_id_entropy=2.228","","",""
01:00:20.000,0x7E4,HIGH,TIMING_BURST,0,844,"timing=1.044, payload=0.925, ml=0.727, persistence=0.100, freq=1Hz, can_id_entropy=2.228","","",""
01:00:20.490,0x7BB,CRITICAL,TIMING_BURST,1,186,"timing=1.948, payload=0.981, ml=0.739, persistence=0.130, freq=1Hz, can_id_entropy=2.228","","",""
01:00:20.494,0x13,LOW,ML_OUTLIER,0,424,"timing=0.223, payload=0.535, ml=0.727, persistence=0.130, freq=1Hz, can_id_entropy=2.178","","",""
01:00:20.500,0x7B3,CRITICAL,TIMING_BURST,1,132,"timing=2.000, payload=0.784, ml=0.737, persistence=0.100, freq=0Hz, can_id_entropy=2.178","","",""
01:00:20.993,0x7EC,MEDIUM,CONTINUITY_BREAK,0,697,"timing=0.615, payload=0.921, ml=0.742, persistence=0.110, freq=5Hz, can_id_entropy=2.244","","",""
01:00:21.000,0x7E4,HIGH,TIMING_BURST,0,841,"timing=1.015, payload=0.938, ml=0.727, persistence=0.120, freq=1Hz, can_id_entropy=2.244","","",""
01:00:21.039,0x19,LOW,CONTINUITY_BREAK,0,482,"timing=0.004, payload=0.923, ml=0.731, persistence=0.120, freq=10Hz, can_id_entropy=2.244","","",""
01:00:21.500,0x7A0,CRITICAL,TIMING_BURST,1,166,"timing=2.000, payload=0.873, ml=0.740, persistence=0.130, freq=0Hz, can_id_entropy=2.244","","",""
01:00:21.505,0x7A8,CRITICAL,TIMING_BURST,1,170,"timing=1.837, payload=1.048, ml=0.731, persistence=0.140, freq=1Hz, can_id_entropy=2.244","","",""
01:00:21.993,0x7EC,MEDIUM,CONTINUITY_BREAK,0,670,"timing=0.616, payload=0.819, ml=0.740, persistence=0.200, freq=5Hz, can_id_entropy=2.266","","",""
01:00:22.000,0x7E4,HIGH,TIMING_BURST,0,836,"timing=0.990, payload=0.924, ml=0.727, persistence=0.210, freq=1Hz, can_id_entropy=2.266","","",""
01:00:22.265,0x19,LOW,CONTINUITY_BREAK,0,478,"timing=0.004, payload=0.888, ml=0.727, persistence=0.210, freq=10Hz, can_id_entropy=2.266","","",""
01:00:23.279,0x19,LOW,CONTINUITY_BREAK,0,509,"timing=0.003, payload=0.973, ml=0.731, persistence=0.210, freq=10Hz, can_id_entropy=2.263","","",""
01:00:23.488,0x12,LOW,ML_OUTLIER,0,433,"timing=0.476, payload=0.311, ml=0.685, persistence=0.210, freq=1Hz, can_id_entropy=2.263","","",""
01:00:23.489,0x13,MEDIUM,ML_OUTLIER,0,584,"timing=0.476, payload=0.716, ml=0.727, persistence=0.210, freq=1Hz, can_id_entropy=2.263","","",""
01:00:23.490,0x16,LOW,ML_OUTLIER,0,411,"timing=0.476, payload=0.240, ml=0.698, persistence=0.210, freq=1Hz, can_id_entropy=2.263","","",""
01:00:24.000,0x5,LOW,ML_OUTLIER,0,434,"timing=0.467, payload=0.311, ml=0.708, persistence=0.200, freq=1Hz, can_id_entropy=2.167","","",""
01:00:24.292,0x19,LOW,CONTINUITY_BREAK,0,440,"timing=0.003, payload=0.782, ml=0.733, persistence=0.190, freq=10Hz, can_id_entropy=2.167","","",""
01:00:24.488,0x15,LOW,ML_OUTLIER,0,414,"timing=0.465, payload=0.250, ml=0.727, persistence=0.180, freq=1Hz, can_id_entropy=2.167","","",""
01:00:24.995,0x7EC,MEDIUM,CONTINUITY_BREAK,0,795,"timing=0.717, payload=1.080, ml=0.742, persistence=0.170, freq=4Hz, can_id_entropy=2.163","","",""
01:00:25.000,0x7E4,HIGH,TIMING_BURST,0,852,"timing=1.044, payload=0.925, ml=0.727, persistence=0.180, freq=1Hz, can_id_entropy=2.163","","",""
01:00:25.312,0x19,LOW,CONTINUITY_BREAK,0,441,"timing=0.004, payload=0.800, ml=0.733, persistence=0.130, freq=10Hz, can_id_entropy=2.163","","",""
01:00:25.490,0x7BB,CRITICAL,TIMING_BURST,1,179,"timing=1.927, payload=0.981, ml=0.739, persistence=0.130, freq=1Hz, can_id_entropy=2.087","","",""
01:00:25.490,0x13,LOW,ML_OUTLIER,0,473,"timing=0.456, payload=0.444, ml=0.727, persistence=0.130, freq=1Hz, can_id_entropy=2.087","","",""
01:00:25.491,0x15,LOW,ML_OUTLIER,0,422,"timing=0.456, payload=0.297, ml=0.727, persistence=0.130, freq=1Hz, can_id_entropy=2.087","","",""
01:00:25.500,0x7B3,CRITICAL,TIMING_BURST,1,135,"timing=2.000, payload=0.784, ml=0.731, persistence=0.140, freq=0Hz, can_id_entropy=2.087","","",""
01:00:25.995,0x7EC,MEDIUM,CONTINUITY_BREAK,0,682,"timing=0.615, payload=0.873, ml=0.736, persistence=0.140, freq=5Hz, can_id_entropy=2.087","","",""
01:00:26.000,0x7E4,HIGH,TIMING_BURST,0,845,"timing=1.021, payload=0.938, ml=0.727, persistence=0.140, freq=1Hz, can_id_entropy=2.134","","",""
01:00:26.000,0x5,LOW,ML_OUTLIER,0,411,"timing=0.448, payload=0.281, ml=0.708, persistence=0.140, freq=1Hz, can_id_entropy=2.134","","",""
01:00:26.426,0x19,LOW,ML_OUTLIER,0,407,"timing=0.004, payload=0.710, ml=0.733, persistence=0.110, freq=10Hz, can_id_entropy=2.134","","",""
01:00:26.500,0x7A0,CRITICAL,TIMING_BURST,1,165,"timing=2.000, payload=0.873, ml=0.737, persistence=0.120, freq=0Hz, can_id_entropy=2.134","","",""
01:00:26.504,0x13,LOW,ML_OUTLIER,0,520,"timing=0.446, payload=0.589, ml=0.727, persistence=0.120, freq=1Hz, can_id_entropy=2.134","","",""
01:00:26.505,0x15,LOW,ML_OUTLIER,0,410,"timing=0.446, payload=0.275, ml=0.727, persistence=0.120, freq=1Hz, can_id_entropy=2.134","","",""
01:00:26.521,0x7A8,CRITICAL,TIMING_BURST,1,170,"timing=1.838, payload=1.048, ml=0.733, persistence=0.130, freq=1Hz, can_id_entropy=2.160","","",""
01:00:27.000,0x7E4,HIGH,TIMING_BURST,0,839,"timing=1.000, payload=0.924, ml=0.727, persistence=0.200, freq=1Hz, can_id_entropy=2.160","","",""
01:00:27.000,0x5,LOW,ML_OUTLIER,0,425,"timing=0.439, payload=0.312, ml=0.708, persistence=0.200, freq=1Hz, can_id_entropy=2.160","","",""
01:00:27.024,0x7EC,MEDIUM,CONTINUITY_BREAK,0,676,"timing=0.615, payload=0.836, ml=0.742, persistence=0.200, freq=5Hz, can_id_entropy=2.160","","",""
01:00:27.513,0x13,LOW,ML_OUTLIER,0,488,"timing=0.438, payload=0.483, ml=0.727, persistence=0.200, freq=1Hz, can_id_entropy=2.189","","",""
01:00:27.514,0x16,LOW,ML_OUTLIER,0,443,"timing=0.438, payload=0.372, ml=0.698, persistence=0.200, freq=1Hz, can_id_entropy=2.189","","",""
01:00:27.515,0x17,LOW,ML_OUTLIER,0,471,"timing=0.438, payload=0.440, ml=0.721, persistence=0.200, freq=1Hz, can_id_entropy=2.189","","",""
01:00:27.551,0x19,LOW,ML_OUTLIER,0,421,"timing=0.004, payload=0.724, ml=0.733, persistence=0.200, freq=10Hz, can_id_entropy=2.189","","",""
01:00:28.000,0x5,LOW,ML_OUTLIER,0,411,"timing=0.431, payload=0.281, ml=0.708, persistence=0.200, freq=1Hz, can_id_entropy=2.219","","",""
01:00:28.488,0x15,LOW,ML_OUTLIER,0,521,"timing=0.430, payload=0.594, ml=0.727, persistence=0.170, freq=1Hz, can_id_entropy=2.219","","",""
01:00:28.761,0x19,LOW,CONTINUITY_BREAK,0,431,"timing=0.004, payload=0.759, ml=0.733, persistence=0.170, freq=10Hz, can_id_entropy=2.219","","",""
01:00:29.000,0x5,LOW,ML_OUTLIER,0,426,"timing=0.423, payload=0.344, ml=0.708, persistence=0.160, freq=1Hz, can_id_entropy=2.150","","",""
01:00:29.491,0x13,LOW,ML_OUTLIER,0,490,"timing=0.422, payload=0.521, ml=0.727, persistence=0.150, freq=1Hz, can_id_entropy=2.150","","",""
01:00:29.982,0x19,LOW,CONTINUITY_BREAK,0,460,"timing=0.004, payload=0.864, ml=0.733, persistence=0.100, freq=10Hz, can_id_entropy=2.150","","",""
01:00:29.994,0x7EC,MEDIUM,CONTINUITY_BREAK,0,786,"timing=0.717, payload=1.080, ml=0.742, persistence=0.090, freq=4Hz, can_id_entropy=2.130","","",""
01:00:30.000,0x7E4,HIGH,TIMING_BURST,0,844,"timing=1.044, payload=0.925, ml=0.727, persistence=0.100, freq=1Hz, can_id_entropy=2.130","","",""
01:00:30.490,0x7BB,CRITICAL,TIMING_BURST,1,180,"timing=1.937, payload=0.981, ml=0.734, persistence=0.120, freq=1Hz, can_id_entropy=2.130","","",""
01:00:30.500,0x13,LOW,ML_OUTLIER,0,497,"timing=0.415, payload=0.556, ml=0.727, persistence=0.120, freq=1Hz, can_id_entropy=2.177","","",""
01:00:30.500,0x7B3,CRITICAL,TIMING_BURST,1,134,"timing=2.000, payload=0.784, ml=0.731, persistence=0.130, freq=0Hz, can_id_entropy=2.177","","",""
01:00:30.994,0x7EC,MEDIUM,CONTINUITY_BREAK,0,682,"timing=0.615, payload=0.881, ml=0.742, persistence=0.100, freq=5Hz, can_id_entropy=2.177","","",""
01:00:30.999,0x19,LOW,CONTINUITY_BREAK,0,462,"timing=0.003, payload=0.869, ml=0.737, persistence=0.090, freq=10Hz, can_id_entropy=2.177","","",""
01:00:31.000,0x7E4,HIGH,TIMING_BURST,0,842,"timing=1.024, payload=0.938, ml=0.727, persistence=0.100, freq=1Hz, can_id_entropy=2.177","","",""
01:00:31.000,0x5,LOW,ML_OUTLIER,0,404,"timing=0.409, payload=0.312, ml=0.708, persistence=0.100, freq=1Hz, can_id_entropy=2.177","","",""
01:00:31.500,0x7A0,CRITICAL,TIMING_BURST,1,164,"timing=2.000, payload=0.873, ml=0.737, persistence=0.110, freq=0Hz, can_id_entropy=2.251","","",""
01:00:31.516,0x7A8,CRITICAL,TIMING_BURST,1,169,"timing=1.838, payload=1.048, ml=0.733, persistence=0.120, freq=1Hz, can_id_entropy=2.285","","",""
01:00:31.994,0x7EC,MEDIUM,CONTINUITY_BREAK,0,668,"timing=0.615, payload=0.819, ml=0.738, persistence=0.180, freq=5Hz, can_id_entropy=2.285","","",""
01:00:32.000,0x7E4,HIGH,TIMING_BURST,0,840,"timing=1.006, payload=0.924, ml=0.727, persistence=0.190, freq=1Hz, can_id_entropy=2.285","","",""
01:00:32.116,0x19,LOW,CONTINUITY_BREAK,0,503,"timing=0.003, payload=0.958, ml=0.737, persistence=0.190, freq=10Hz, can_id_entropy=2.317","","",""
01:00:32.496,0x13,LOW,ML_OUTLIER,0,481,"timing=0.401, payload=0.503, ml=0.727, persistence=0.190, freq=1Hz, can_id_entropy=2.317","","",""
01:00:33.000,0x5,LOW,ML_OUTLIER,0,440,"timing=0.396, payload=0.406, ml=0.702, persistence=0.190, freq=1Hz, can_id_entropy=2.317","","",""
01:00:33.131,0x19,LOW,ML_OUTLIER,0,424,"timing=0.003, payload=0.732, ml=0.737, persistence=0.190, freq=10Hz, can_id_entropy=2.247","","",""
01:00:33.514,0x13,MEDIUM,CONTINUITY_BREAK,0,636,"timing=0.395, payload=0.961, ml=0.727, persistence=0.160, freq=1Hz, can_id_entropy=2.247","","",""
01:00:33.515,0x15,LOW,ML_OUTLIER,0,427,"timing=0.395, payload=0.363, ml=0.727, persistence=0.160, freq=1Hz, can_id_entropy=2.247","","",""
01:00:34.152,0x19,LOW,CONTINUITY_BREAK,0,450,"timing=0.003, payload=0.818, ml=0.737, persistence=0.150, freq=10Hz, can_id_entropy=2.247","","",""
01:00:34.519,0x13,LOW,ML_OUTLIER,0,453,"timing=0.389, payload=0.450, ml=0.727, persistence=0.140, freq=1Hz, can_id_entropy=2.218","","",""
01:00:34.520,0x16,LOW,ML_OUTLIER,0,402,"timing=0.389, payload=0.326, ml=0.698, persistence=0.120, freq=1Hz, can_id_entropy=2.218","","",""
01:00:34.995,0x7EC,MEDIUM,CONTINUITY_BREAK,0,782,"timing=0.717, payload=1.067, ml=0.740, persistence=0.100, freq=4Hz, can_id_entropy=2.218","","",""
01:00:35.000,0x7E4,HIGH,TIMING_BURST,0,844,"timing=1.044, payload=0.925, ml=0.727, persistence=0.100, freq=1Hz, can_id_entropy=2.218","","",""
01:00:35.273,0x19,LOW,CONTINUITY_BREAK,0,419,"timing=0.003, payload=0.742, ml=0.733, persistence=0.120, freq=10Hz, can_id_entropy=2.200","","",""
01:00:35.490,0x7BB,CRITICAL,TIMING_BURST,1,190,"timing=1.964, payload=0.981, ml=0.734, persistence=0.130, freq=1Hz, can_id_entropy=2.200","","",""
01:00:35.493,0x15,LOW,ML_OUTLIER,0,426,"timing=0.383, payload=0.385, ml=0.727, persistence=0.120, freq=1Hz, can_id_entropy=2.200","","",""
01:00:35.500,0x7B3,CRITICAL,TIMING_BURST,1,130,"timing=2.000, payload=0.784, ml=0.727, persistence=0.100, freq=0Hz, can_id_entropy=2.222","","",""
01:00:36.000,0x7E4,HIGH,TIMING_BURST,0,844,"timing=1.027, payload=0.938, ml=0.727, persistence=0.110, freq=1Hz, can_id_entropy=2.222","","",""
01:00:36.024,0x7EC,MEDIUM,CONTINUITY_BREAK,0,739,"timing=0.615, payload=1.045, ml=0.737, persistence=0.110, freq=5Hz, can_id_entropy=2.222","","",""
01:00:36.388,0x19,LOW,CONTINUITY_BREAK,0,494,"timing=0.003, payload=0.957, ml=0.733, persistence=0.110, freq=10Hz, can_id_entropy=2.262","","",""
01:00:36.497,0x13,LOW,ML_OUTLIER,0,455,"timing=0.378, payload=0.476, ml=0.727, persistence=0.110, freq=1Hz, can_id_entropy=2.262","","",""
01:00:36.498,0x15,LOW,ML_OUTLIER,0,485,"timing=0.378, payload=0.563, ml=0.727, persistence=0.110, freq=1Hz, can_id_entropy=2.262","","",""
01:00:36.500,0x7A0,CRITICAL,TIMING_BURST,1,164,"timing=2.000, payload=0.873, ml=0.731, persistence=0.120, freq=0Hz, can_id_entropy=2.262","","",""
01:00:36.516,0x7A8,CRITICAL,TIMING_BURST,1,169,"timing=1.839, payload=1.048, ml=0.729, persistence=0.130, freq=1Hz, can_id_entropy=2.262","","",""
01:00:37.000,0x7E4,HIGH,TIMING_BURST,0,843,"timing=1.011, payload=0.924, ml=0.727, persistence=0.200, freq=1Hz, can_id_entropy=2.318","","",""
01:00:37.000,0x5,LOW,ML_OUTLIER,0,411,"timing=0.373, payload=0.344, ml=0.702, persistence=0.200, freq=1Hz, can_id_entropy=2.318","","",""
01:00:37.024,0x7EC,MEDIUM,CONTINUITY_BREAK,0,676,"timing=0.615, payload=0.836, ml=0.739, persistence=0.200, freq=5Hz, can_id_entropy=2.318","","",""
